username,rating,text,date,city,company,ct
"{'name': 'Ishan Joshi', 'link': 'https://www.google.com/maps/contrib/113486815534142406949?hl=en-US', 'contributor_id': '113486815534142406949', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW73qKIN2dGSMZQVgEFfZx-4DPbE8OWU2TtG8o-tjI7kVXsoOBbpg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 26, 'photos': 88}",5.0,"One of the best companies to work with in Ahmedabad. Transparent processes, great work culture, amazing vision!",8 years ago,Ahmehdabad,Sophos,
"{'name': 'Dhruv Pandya', 'link': 'https://www.google.com/maps/contrib/109847260725884256601?hl=en-US', 'contributor_id': '109847260725884256601', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXT1PMqopdeFkiHEoSz6sTp_fIK6iLeQtq70Y48hIjno42TbTm6=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 5, 'photos': 2}",5.0,Very nice company for work. Good culture & environment with best IT infrastructure.,8 years ago,Ahmehdabad,Sophos,
"{'name': 'Sarbajeet Maity', 'link': 'https://www.google.com/maps/contrib/103444895563602554605?hl=en-US', 'contributor_id': '103444895563602554605', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUVueXqojTjeHxwJPRegAbOKSWIpgvI47ZITwgbQpk29FuHTqr_9Q=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 117, 'photos': 116}",5.0,Security made simple with a great variety of product. One of the best infrastructure in the town.,6 years ago,Ahmehdabad,Sophos,
"{'name': 'Somnath Dey', 'link': 'https://www.google.com/maps/contrib/100377315918551051218?hl=en-US', 'contributor_id': '100377315918551051218', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVwjfn8vOwZiOpySNp1A6hELVIFamWW9hfTcox-55a_3xTbem8=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1.0,Wrong Number,3 months ago,Ahmehdabad,Microsoft,
"{'name': 'Urvi Prajapati', 'link': 'https://www.google.com/maps/contrib/117601114959618270523?hl=en-US', 'contributor_id': '117601114959618270523', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJcIlUtvXq90Igb0bc6UULkWWPycgdD6fO9esh_XN1H3MKVIA=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1.0,"I am a full stack developer with 8 years of experience.

I recently participated in Bacancy selection process for the position of Senior Laravel Developer. I took an online test on 4th July 2024, and was subsequently selected for further technical rounds. On 8th July, I successfully cleared the first technical round, and on 10th July, I passed the second technical round. Following this, on 11th July 2024, during the third HR round, I was selected for the position of Senior Laravel Developer at Bacancy.

During my discussion with your HR team member, Namrata Bandhaniya, we agreed upon my Expected CTC per annum based on my skills and interview performance. I accepted this offer.

On July 17th, I received an offer letter from Pulkit Phatale with a CTC significantly lower than the previously discussed amount.

On July 18th, I discussed this issue with Pulkit Phatale and Amit, who informed me that there had been a miscommunication with the HR team. They assured me that my CTC would be increased, and a revised offer letter would be sent. However, I did not receive any response that day. On July 19th, when I inquired about the update, I was informed that the offer would not be increased.

This situation reflects significant time wasted by the management team and bacancy company with the candidate. I would advise against considering opportunities with this Bacancy company.",6 months ago,Ahmehdabad,Bacancy,
"{'name': 'Mitul Gajjar', 'link': 'https://www.google.com/maps/contrib/107409950267166393599?hl=en-US', 'contributor_id': '107409950267166393599', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIFH1R7HMoeLRlm7NyGJP5YGBQPSSn-h_D8ZMIbWlkHU_8PZg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 34, 'photos': 25}",5.0,Great place to work in Ahmedabad. Its like best career growth. U will get lots of opportunities here.,a year ago,Ahmehdabad,Bacancy,
"{'name': 'KONIK POKAR', 'link': 'https://www.google.com/maps/contrib/100154933274349150544?hl=en-US', 'contributor_id': '100154933274349150544', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVWHE-vqw-GDHwLK9aQr3rRCuAhy-3UdUkzupCkh7H9QQXUvn5k=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",5.0,"Working in cultured and challenging environment where you would expect good work life balance and work satisfaction.
The place where you can become asset for the organization.
Management is giving equal priority and values to both customers and employees.
I really appreciate the way founders are taking the lead to provide transparency, listen employees & encourage all.
Every possible things are being discussed in company meetings for growth of everyone.
There is no management levels, you can reach to anyone anytime for your problems or needs.
Everyone is focusing on satisfying the client as much as possible and at the same time you grow yourself.
Great place to give your quality work and time.",3 years ago,Ahmehdabad,Bacancy,
"{'name': 'Rohit Parmar', 'link': 'https://www.google.com/maps/contrib/111822957941029074863?hl=en-US', 'contributor_id': '111822957941029074863', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJTHY3AJKaxMKF4OlNp_cNY379aCfNwluzz3h1M43gotISemw=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"Overall a great experience to work with bacancy. The points that I personally liked the most are :
- Work life balance
- Helpful colleagues
-Company culture (Work From Anywhere)
- Growth and opportunities

There are more points like learning process for career growth and Feedback for evaluate to do better in industry.
Personally recommended to all who want to work with a good organization.",2 years ago,Ahmehdabad,Bacancy,
"{'name': 'Dhruti Kapoor', 'link': 'https://www.google.com/maps/contrib/104272182005011300886?hl=en-US', 'contributor_id': '104272182005011300886', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVlSAUh0HqSYt0pYdJxbHQpOrOIGat1FSk2yM6fRa7_oi9ZtWU=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"The work culture here is collaborative, supportive, and growth-oriented.",3 weeks ago,Ahmehdabad,Bacancy,
"{'name': 'Pratikkumar Panchal', 'link': 'https://www.google.com/maps/contrib/104390843385415022417?hl=en-US', 'contributor_id': '104390843385415022417', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV64_I1Glj1Vs_DHygwvvh8lKNZvysuXbiD-Ut5A-6bBqK6FjTiyQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 11, 'photos': 42}",5.0,"I am working in Bacancy for the last 4 years full time. One of the best the place to work at. Management is extremely supportive and my colleagues are great mentors as well as wonderful friends. You can tell that they truly care about the happiness of their employees.

It's a really relaxed and calm environment. I don't dread coming to work on Monday mornings and the managers are extremely patient and understanding. Lots of opportunities to grow,
learn and contribute.",3 years ago,Ahmehdabad,Bacancy,
