username,rating,text,date,city,company
"{'name': 'Mohideen Shaikh', 'link': 'https://www.google.com/maps/contrib/107916161111881445795?hl=en-US', 'contributor_id': '107916161111881445795', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXfpsqS7HySFcumNOAaSANj2faLlHhyRdSBk1_u9DkpHlnqbIzCWA=s120-c-rp-mo-br100', 'reviews': 7, 'photos': 0}",5,Very professional team and outstanding service with quick turnaround support at any given point of time. A very reliable company. I would recommend Webking any time. Bhavesh specifically really leads the organisation to its best.,4 months ago,Kochi,SAP
"{'name': 'Tanmay Patel', 'link': 'https://www.google.com/maps/contrib/107448716200252716087?hl=en-US', 'contributor_id': '107448716200252716087', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIlGrAlg7GgJmNJTAnM0g6c0rKftMZkIAfpB_0IzS18rjzX5g=s120-c-rp-mo-br100', 'reviews': 6, 'photos': 1}",5,"Thank you So much for your response.
Best service always.  Thanks ones again.",a week ago,Kochi,SAP
"{'name': 'Amit Joshi', 'link': 'https://www.google.com/maps/contrib/104199302676436747694?hl=en-US', 'contributor_id': '104199302676436747694', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU_UIipaHzXVmPwLW_mN6UajT8pVpmwg8x4uTtOn8Q_WoLDHzpu=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",5,Excellent and professional service. Have in-depth subject knowledge and ever ready to support.,4 months ago,Kochi,SAP
"{'name': 'kriti pal', 'link': 'https://www.google.com/maps/contrib/103247564969400182222?hl=en-US', 'contributor_id': '103247564969400182222', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWnxfoamEx90Av4gMxCSRa4rFaUZ2f9q6cEjE9duEnreEQ0rQ50=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 9}",4,"Service: New Email ID Creation.
Provided cooperative and prompt service.

Thank you, Webking Solutions.",5 months ago,Kochi,SAP
"{'name': 'Sheeba Thomas', 'link': 'https://www.google.com/maps/contrib/100947034627194093903?hl=en-US', 'contributor_id': '100947034627194093903', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWgsNJT0Z1DdUpfIHnPDT2Vj76Ja16xfxid57Bxwmg0SLQl1B4NzA=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 42, 'photos': 627}",5,"It has been over three years since I began working with Experion and since the day I joined Experion, I have been given the opportunity to further my professional development. It offers a fabulous work infrastructure and an excellent working atmosphere.",2 years ago,Kochi,Experion Technologies
"{'name': 'Nithin Poulose', 'link': 'https://www.google.com/maps/contrib/106417930315510660035?hl=en-US', 'contributor_id': '106417930315510660035', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXu4OTVdHuU5Bw8CikXId2r6Uu6M7Ne3lM5816lvPjShsU9hgsthw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 65, 'photos': 105}",5,"Great place to work.
Good working environment.
Flat organisation. Best place for techies to get great exposure to latest technologies and businesses.
All very helpful and empathetic.
Lots of entertainment activities are happening here.",a year ago,Kochi,Experion Technologies
"{'name': 'Gabe Kiran', 'link': 'https://www.google.com/maps/contrib/107056885402767798380?hl=en-US', 'contributor_id': '107056885402767798380', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVU350RzsZc6CJq_--VBIEm2hiD93Kx_J2TKtdVLBVKgbCXWQSL=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 43, 'photos': 7}",5,"Experion being a Product Engineering Services company, it is the pinnacle of product engineering with cutting edge technology integration and leveraging technology for Digital Transformation (DX). Dubbed the ""Infosys"" of Kerala, the team employs folk who are keen on learning and adapting to a digital first mindset, mitigating the customer's complex problems with being mindful of giving back to the community.

The organisation also believes in using recreation as a talent to bring innovation, which is seldom in today's day and age.

I suppose the fact that it is awarded Great place to work, Inc.5000 etc, stands as a testimony to what the founders and the organisation as a whole stand for.",a year ago,Kochi,Experion Technologies
"{'name': 'Shamjith A K', 'link': 'https://www.google.com/maps/contrib/106686886877707977781?hl=en-US', 'contributor_id': '106686886877707977781', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUZ2_ceuATyCzU2mBsH8e4mdPHMCgLhvjUReZre_6yHuuxIQPovjw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 20, 'photos': 55}",5,Great place to work,a year ago,Kochi,Experion Technologies
"{'name': 'Ajay Antony', 'link': 'https://www.google.com/maps/contrib/102536243035576546715?hl=en-US', 'contributor_id': '102536243035576546715', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW_VDWjhUIyp98gESRB_4i52Itk24yx8Xade91k1-3D9R17Ogmh=s120-c-rp-mo-br100', 'reviews': 23, 'photos': 3}",5,"Great place to work with world-class infrastructure, facilities and open-minded co-workers/ senior management team.",2 years ago,Kochi,Experion Technologies
"{'name': 'AlanMathew Cheriyan', 'link': 'https://www.google.com/maps/contrib/116151551937678098611?hl=en-US', 'contributor_id': '116151551937678098611', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUmL-SvmqHWlFCykYMfaCMDXBRon-bG62jcKPGJpP4E8UxBGZ5I=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 27, 'photos': 42}",3,Good place for working. New technologies used. for starting a career it's good. Salary Curtting is too high compared to other companies.( Not my personal opinion),6 years ago,Kochi,Experion Technologies
"{'name': 'Abhilash N Kishore', 'link': 'https://www.google.com/maps/contrib/101253719362287846980?hl=en-US', 'contributor_id': '101253719362287846980', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUAfa8_AjwowPR_Ss2kyl_dMx4j1rIekW464WP2xfOh_bbWpcgQIw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 81, 'photos': 1}",5,Great place to work at. Product Engineering is the mantra.,3 months ago,Kochi,Experion Technologies
"{'name': 'ajil mohanan', 'link': 'https://www.google.com/maps/contrib/116065833896120240202?hl=en-US', 'contributor_id': '116065833896120240202', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLTaPXq2IKs70Wad6vAbWa81bKgzBTroROndB5nPh8f9ZeDmPET=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 76, 'photos': 25}",1,"No work life balance .
Poor pay scale .
Poor career growth opportunities .
Makes you feel insecure with their partiallty",2 years ago,Kochi,Experion Technologies
"{'name': 'Bangalore Zoho', 'link': 'https://www.google.com/maps/contrib/111642960276997452368?hl=en-US', 'contributor_id': '111642960276997452368', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJnQEqv7LWhkHv9EN7YjsfvmDM6FDYHHOyfWwuZgGQmPoWRgw=s120-c-rp-mo-br100', 'reviews': 0, 'photos': 0}",5,,7 months ago,Kochi,Zoho
"{'name': 'Akshay Honnappa', 'link': 'https://www.google.com/maps/contrib/117844851541065903282?hl=en-US', 'contributor_id': '117844851541065903282', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJdlQPfzhJN2nxltGPQ0Fr4MZKyi1w8z4vw7AncKnhgxqXd3ng=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 30, 'photos': 1}",5,,10 months ago,Kochi,Zoho
"{'name': 'Siddarth Raj', 'link': 'https://www.google.com/maps/contrib/102541764813096914858?hl=en-US', 'contributor_id': '102541764813096914858', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXSrMSIWvaoTpTZgPQJRufgzkByEswLkg5_IWOlpGcdR9aOp3q3=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 6, 'photos': 85}",5,,a year ago,Kochi,Zoho
"{'name': 'Vijendra Vempati', 'link': 'https://www.google.com/maps/contrib/116900252214302175492?hl=en-US', 'contributor_id': '116900252214302175492', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIKTGVtDPT3ylUyyKUPn2SF5u1ld6Ah55Zj1-7LHPih13Y6Tq0=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 253, 'photos': 308}",5,Best place to work and Employees friendly Work environment,a week ago,Kochi,KPIT Technologies
"{'name': 'Shreyas CN', 'link': 'https://www.google.com/maps/contrib/117759725935216816606?hl=en-US', 'contributor_id': '117759725935216816606', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVz9VYx7PaJJ2xrA3OckmVSkVMqari2hhABxDXqwJT9WB3QFUjE=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 565, 'photos': 2033}",5,Very nice place to work at !,4 months ago,Kochi,KPIT Technologies
"{'name': 'Sourav Vishwakarma', 'link': 'https://www.google.com/maps/contrib/112076062077797231898?hl=en-US', 'contributor_id': '112076062077797231898', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXaxXeayqxNl8cbed1q9PQZaAc74AV46N6K_jcikJ3nKajNgzyZ=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 7, 'photos': 1}",5,"Great Place to Work , lots of learning opportunities",6 months ago,Kochi,KPIT Technologies
"{'name': 'Ashish Kumar', 'link': 'https://www.google.com/maps/contrib/110564330050103595279?hl=en-US', 'contributor_id': '110564330050103595279', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUKWMOrOXMZC-Dntbr1Zt1z8gYiKHAHSDM0paq367_moavs21sJgw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 86, 'photos': 11}",5,Great place to work.,6 months ago,Kochi,KPIT Technologies
"{'name': 'Sudha Louis', 'link': 'https://www.google.com/maps/contrib/117982307769758113866?hl=en-US', 'contributor_id': '117982307769758113866', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUbb-x6-FTsbocndEiVoMUI9nzZfTHoAnEUE7vOCFrHY--mjekL=s120-c-rp-mo-br100', 'reviews': 10, 'photos': 0}",5,Good place to work,a year ago,Kochi,KPIT Technologies
"{'name': 'Dev', 'link': 'https://www.google.com/maps/contrib/117007472273232408091?hl=en-US', 'contributor_id': '117007472273232408091', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWBbMDrJTHI8uh7fjXhRnc4R8rotxefIYinawAaOHO-rI87jubHWQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 33, 'photos': 7}",4,It's lovely place to work,a year ago,Kochi,KPIT Technologies
"{'name': 'Basic Concept GURU', 'link': 'https://www.google.com/maps/contrib/113344206891720933169?hl=en-US', 'contributor_id': '113344206891720933169', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVnlVAJ0uP6IyhMLnxWkN6PAbehNXr0tNvJvdK6hIX8Dq4yd_Tm=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 43, 'photos': 34}",4,Good Company but doing layoffs nowadays.,a year ago,Kochi,KPIT Technologies
"{'name': 'Suman Achary', 'link': 'https://www.google.com/maps/contrib/118193916629737915255?hl=en-US', 'contributor_id': '118193916629737915255', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWUZMOU4a9YFs8vAZQIorBFoTa0OeWeRFBF_PYErBZbaAkrjwQaIg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 43, 'photos': 11}",5,Brilliant,2 months ago,Kochi,KPIT Technologies
"{'name': 'Sivaraj C', 'link': 'https://www.google.com/maps/contrib/102352237051368773504?hl=en-US', 'contributor_id': '102352237051368773504', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVWZ13CZ1Tdj78e6644fdsGaGI2eJEwF21QsafEiI5tmHLz6PA=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 11}",4,Good Culture,a month ago,Kochi,YES
"{'name': 'Eby Paul', 'link': 'https://www.google.com/maps/contrib/103313652086398237213?hl=en-US', 'contributor_id': '103313652086398237213', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXQaqNcXJqHeESITV0AQVgU-aiox8v4wjFZzWC4FNZhXGrfQRYZ=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 21, 'photos': 6}",5,Good place to work,a month ago,Kochi,YES
"{'name': 'P Swati', 'link': 'https://www.google.com/maps/contrib/111854694357631298926?hl=en-US', 'contributor_id': '111854694357631298926', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIDXP7-kD0-C3g8zbfq16wA2NfNlVsdlVORU8SfSwPrCPx9G0ah=s120-c-rp-mo-br100', 'reviews': 7, 'photos': 0}",4,Super cool company,8 months ago,Kochi,YES
"{'name': 'Vishwanath Honakatti', 'link': 'https://www.google.com/maps/contrib/112510791997786778944?hl=en-US', 'contributor_id': '112510791997786778944', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX-4DqnV8RuUe7uDqFU3mPnJSrtflCrEJjEW1bg-grqORAdR_44=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 5, 'photos': 14}",5,Hey! This place is awesome...,6 years ago,Kochi,YES
"{'name': 'richa telang', 'link': 'https://www.google.com/maps/contrib/113579775589421259549?hl=en-US', 'contributor_id': '113579775589421259549', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocI7EHHwGhP_EloLzdNCvGV88ImQxkbCqM7TETXgDD6hAG8sIw=s120-c-rp-mo-br100', 'reviews': 8, 'photos': 0}",5,Can't get any better!,6 years ago,Kochi,YES
"{'name': 'Jagadesh B', 'link': 'https://www.google.com/maps/contrib/117378716237673917426?hl=en-US', 'contributor_id': '117378716237673917426', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocICPfc2dyjr17aYYqmA2WuFti6YK-4q9_E3IMVPhZidEyfnwQ=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 12, 'photos': 0}",5,Happy to be part of Litmus7 ..,6 years ago,Kochi,YES
"{'name': 'Vikram Kasa', 'link': 'https://www.google.com/maps/contrib/109010942500141248999?hl=en-US', 'contributor_id': '109010942500141248999', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWIi8MNV6s5E49wbscsTgWwdrgNh3HxqLvGFGCqCC_FYDuHkTET_Q=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 27, 'photos': 32}",1,,5 months ago,Kochi,YES
"{'name': 'Ajith Balakrishnan', 'link': 'https://www.google.com/maps/contrib/111868863683902636036?hl=en-US', 'contributor_id': '111868863683902636036', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX3Ne1VaXynwNfoJY_Irm_qBUIDfaSQ_Ap1_YsqRjp7GON0q7uIIA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 14, 'photos': 0}",1,,5 months ago,Kochi,YES
