username,rating,text,date,city,company
"{'name': 'Ekkesh Binnani', 'link': 'https://www.google.com/maps/contrib/108058511233064194875?hl=en-US', 'contributor_id': '108058511233064194875', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVNUdzQ0A6ao1ZMmFN-5emiz7hQ_GpyQwbaaZ_i7MNY2ff9P39w=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 36, 'photos': 7}",4,Good work culture and focus on delivering result with innovative Supply Chain software solutions,5 years ago,Hyderabad,Blue Yonder
"{'name': 'Vijay K', 'link': 'https://www.google.com/maps/contrib/111013543862303635212?hl=en-US', 'contributor_id': '111013543862303635212', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWgjrJt4pwLNfyUjHIP3YJNNI-jF_YLFqAO7dC8JXc5MpVi5lQ-=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 160, 'photos': 2398}",5,"Awesome company. One of the market leaders in the field of supply chain management. It is located in Meenakshi Tech Park. They have around 3000 employees (1500 in Hyderabad and other 1500 in Banglore). They usually prefer IITians or from top prestigious institutions. If not, they look at good work experience. It has also been voted as one of the best companies to work with. Especially for women, it is one of the best companies to work as they have lots of initiatives for them and they also take a lot of care.",6 years ago,Hyderabad,Blue Yonder
"{'name': 'thati rahul', 'link': 'https://www.google.com/maps/contrib/113896326280229435240?hl=en-US', 'contributor_id': '113896326280229435240', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUt_1HX3TB-H2Bwc9bc14SLqXg023-i519pXYvgq9M5tTT5fgkQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 30, 'photos': 48}",4,"The company is located at 9th, 10th and 11th floor in Meenakshi towers. The access to entry is only for the employees. Other visitors need to get an visitor card from the gate. On the 9th floor the reception is present. The cafeteria is located on 11th floor. The access is restricted to working employees only. Each and every associate has a spacious private working area. The employees are very friendly. The only negative point is the location of the building. Its situated far from the normal area where most of the facilities are easily available.",7 years ago,Hyderabad,Blue Yonder
"{'name': 'Siripuram Sai Bharadwaj', 'link': 'https://www.google.com/maps/contrib/115410941512684174557?hl=en-US', 'contributor_id': '115410941512684174557', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU3Lnevi8p2p_A_OclJw-HdxEkmCd8ZwrfyM-ovXmW2cLBFUCbiag=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 523, 'photos': 3681}",4,"Recently, I had the opportunity to visit the ServiceNow office and building complex, thanks to a friend.

This place shatters all conventional images of a software company workspace. It boasts top-notch monitors, desks that adjust in height, exceptional chairs, and soundproof rooms designed for brainstorming, alongside versatile meeting spaces.

For relaxation and entertainment, there's a variety of options including a pool table, basketball, box cricket, PlayStation, ping pong, and much more. Adding to the allure is a dedicated room outfitted with massage chairs.

What's truly remarkable is the provision of complimentary food and beverages, making it a tempting spot just for the dining options. Additionally, the complex houses well-known food outlets like Karachi and Haldirams.

A central feature is a giant open-air screen with audience seating and a high-quality sound system, serving as a main attraction.

This environment undoubtedly plays a significant role in boosting productivity.",10 months ago,Hyderabad,ServiceNow
"{'name': 'Joon Park', 'link': 'https://www.google.com/maps/contrib/109519474099335494147?hl=en-US', 'contributor_id': '109519474099335494147', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU7wR-faZwpmFKcdH4M32IjjNX8F8dOrH-kcttpmJ5OZ4WEFi30-Q=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 458, 'photos': 2077}",5,It is a great workplace that is very well decorated in the heart of Hyderabad. I liked the micro kitchens that were filled with drinks and snacks. The cafeteria on the 2nd floor is huge and provides great food. There are a lot of meeting rooms and spaces where you can have meetings and relax in between meetings.,11 months ago,Hyderabad,ServiceNow
"{'name': 'Girish Yelka', 'link': 'https://www.google.com/maps/contrib/114901196662531986268?hl=en-US', 'contributor_id': '114901196662531986268', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXZf0wVQeS64jv_VyZo51eCuEO0HEYJfoMWgGqWBA8i-bjDAhsTkQ=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 280, 'photos': 126}",5,"Such fun happening place.

It has beautiful pantry, resting area, playing area, cricket turf, gym, music room…

Great facilities. Highly recommend!!",a year ago,Hyderabad,ServiceNow
"{'name': 'Veerendra Achanta', 'link': 'https://www.google.com/maps/contrib/100001444211405105652?hl=en-US', 'contributor_id': '100001444211405105652', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUSlv2Ea4MnimNjeQGWhKu9oGccQ7lYfpHuPCWDZjJ2s9S3Qto=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 35, 'photos': 54}",5,"An excellent workplace to work. Facilites, and ambience are also very good. Breakout areas, playing areas, cafeterias are well organised and designed.",2 years ago,Hyderabad,ServiceNow
"{'name': 'Aditya Rao', 'link': 'https://www.google.com/maps/contrib/111453421189013765410?hl=en-US', 'contributor_id': '111453421189013765410', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVS7bjYR67c4dS3WxDgS7QC8cPUM-kGXklUk_k6jD6ayHs7njHn1w=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 299, 'photos': 967}",5,"Excellent place to work, great colleagues, swanky office !",7 years ago,Hyderabad,ServiceNow
"{'name': 'UMANG MAURYA', 'link': 'https://www.google.com/maps/contrib/106015377446157371343?hl=en-US', 'contributor_id': '106015377446157371343', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXHYBKySAT6pOuri97X5qJLQZ0Xtarz-ln1X4dQwgzOtgGBOlos=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 146, 'photos': 167}",5,"It's my new office, situated at
Salarapuriva satva Argus building Knowledge city Raidurg Hyderabad.
Microsoft office also here
Love the office facilities provided here.
Food court, table tennis, other recreational facilities provided here",2 years ago,Hyderabad,ServiceNow
"{'name': 'Nik Daga', 'link': 'https://www.google.com/maps/contrib/117043782721775133470?hl=en-US', 'contributor_id': '117043782721775133470', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVj661i62mfVRykb4PDtCHg-1BV5YI98Dzr0GToXM7y_YUkbFzodQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 39, 'photos': 52}",5,"Awesome Office, with ample space and facilities, lot of fun activities with good company culture",10 months ago,Hyderabad,ServiceNow
